x,y
3.418567699804039850e-02,-1.108254945919747228e-02
3.418567699804039850e-02,-1.108254945919747228e-02
3.418567699804039850e-02,-1.108254945919747228e-02
3.406826734646745125e-02,-1.110613080841512355e-02
3.418567699804039850e-02,-1.108254945919747228e-02
3.406826734646745125e-02,-1.110613080841512355e-02
3.406826734646745125e-02,-1.110613080841512355e-02
3.406826734646745125e-02,-1.110613080841512355e-02
3.406826734646745125e-02,-1.110613080841512355e-02
3.418567699804039850e-02,-1.108254945919747228e-02
3.406826734646745125e-02,-1.110613080841512355e-02
3.418567699804039850e-02,-1.108254945919747228e-02
3.006140379242092098e-02,-1.116985141112083156e-02
3.006140379242092098e-02,-1.116985141112083156e-02
3.006140379242092098e-02,-1.116985141112083156e-02
2.953739920361289628e-02,-1.109790252766475888e-02
3.006140379242092098e-02,-1.116985141112083156e-02
2.953739920361289628e-02,-1.109790252766475888e-02
2.953739920361289628e-02,-1.109790252766475888e-02
2.953739920361289628e-02,-1.109790252766475888e-02
2.953739920361289628e-02,-1.109790252766475888e-02
3.006140379242092098e-02,-1.116985141112083156e-02
2.953739920361289628e-02,-1.109790252766475888e-02
3.006140379242092098e-02,-1.116985141112083156e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.595731349058873899e-02,-1.035633158087560964e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.548514134063168540e-02,-1.028527684215710218e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.774416702146977748e-02,-1.072691920986795430e-02
2.835953980197685256e-02,-1.086958316944150807e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.953739920361289628e-02,-1.109790252766475888e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.953739920361289628e-02,-1.109790252766475888e-02
2.953739920361289628e-02,-1.109790252766475888e-02
2.953739920361289628e-02,-1.109790252766475888e-02
2.953739920361289628e-02,-1.109790252766475888e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.953739920361289628e-02,-1.109790252766475888e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.896513657739060998e-02,-1.099855704074868303e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.652277449091858252e-02,-1.045669508479597602e-02
2.712762826176907949e-02,-1.058552508568755442e-02
2.465504879608531805e-02,-1.018270575021923072e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.465504879608531805e-02,-1.018270575021923072e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.465504879608531805e-02,-1.018270575021923072e-02
2.504882154050069171e-02,-1.022802706419582291e-02
2.465504879608531805e-02,-1.018270575021923072e-02
2.465504879608531805e-02,-1.018270575021923072e-02
2.465504879608531805e-02,-1.018270575021923072e-02
3.354651036396935626e-02,-1.109880530267448595e-02
3.354651036396935626e-02,-1.109880530267448595e-02
3.354651036396935626e-02,-1.109880530267448595e-02
3.338489458024657131e-02,-1.110503657612496760e-02
3.354651036396935626e-02,-1.109880530267448595e-02
3.338489458024657131e-02,-1.110503657612496760e-02
3.338489458024657131e-02,-1.110503657612496760e-02
3.338489458024657131e-02,-1.110503657612496760e-02
3.338489458024657131e-02,-1.110503657612496760e-02
3.354651036396935626e-02,-1.109880530267448595e-02
3.338489458024657131e-02,-1.110503657612496760e-02
3.354651036396935626e-02,-1.109880530267448595e-02
